time/iterations,time/time_elapsed,train/entropy_loss,train/explained_variance,train/n_updates,time/fps,train/policy_loss,time/total_timesteps,train/value_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
100,0,-1.3185230493545532,0.32748127,99,1108,0.09905453026294708,500,0.0075438604690134525,0.00025,,,,
200,0,-1.353292465209961,-0.30898237,199,1131,-0.23449435830116272,1000,0.030803224071860313,0.00025,,,,
300,1,-1.3344974517822266,-218.91077,299,1110,0.10534224659204483,1500,0.008796213194727898,0.00025,,,,
400,1,-1.3100758790969849,0.51283824,399,1107,-0.024991922080516815,2000,0.0004926164983771741,0.00025,1618.0,265.2135925292969,,
500,2,-1.2786141633987427,-0.74089503,499,1119,-0.058844029903411865,2500,0.0034331814385950565,0.00025,1618.0,265.2135925292969,,
600,2,-1.320517659187317,0.25809526,599,1119,-0.11974526941776276,3000,0.008568575605750084,0.00025,1377.5,277.3135986328125,,
700,3,-1.341533899307251,-2.4141314,699,1121,0.2171793431043625,3500,0.04208610951900482,0.00025,1377.5,277.3135986328125,,
800,3,-1.3092081546783447,0.77170867,799,1124,-0.1316094696521759,4000,0.007999102585017681,0.00025,1172.0,441.9076232910156,,
900,3,-1.32785964012146,0.35028154,899,1125,-0.069716677069664,4500,0.003964241594076157,0.00025,1172.0,441.9076232910156,,
1000,4,-1.3020734786987305,0.99537873,999,1121,0.027263715863227844,5000,0.0005821504746563733,0.00025,993.0,349.7238464355469,,
1100,4,-1.3461778163909912,0.22761232,1099,1124,0.19485622644424438,5500,0.04905485361814499,0.00025,993.0,349.7238464355469,,
1200,5,-1.3034894466400146,-3.2731686,1199,1124,0.03281131386756897,6000,0.0010283871088176966,0.00025,958.0,394.7489318847656,,
1300,5,-1.3147199153900146,0.8404106,1299,1118,0.036280907690525055,6500,0.001093952334485948,0.00025,958.0,394.7489318847656,,
1400,6,-1.321378469467163,-23.92202,1399,1120,-0.05237233638763428,7000,0.0024292459711432457,0.00025,958.0,394.7489318847656,,
1500,6,-1.3398511409759521,-9.193881,1499,1119,-0.33912497758865356,7500,0.06425709277391434,0.00025,958.0,394.7489318847656,,
1600,7,-1.3392449617385864,-4.1048436,1599,1120,0.007711167447268963,8000,0.00020488619338721037,0.00025,958.0,394.7489318847656,,
1700,7,-1.316286325454712,0.7123306,1699,1120,0.07958871871232986,8500,0.004379232879728079,0.00025,1206.2857142857142,547.9351196289062,,
