#{"t_start": 1761179530.4976952, "env_id": "None"}
r,l,t
265.2136,1618,2.279579
289.41357,1137,3.283447
771.09576,761,3.962559
150.51767,1106,4.936147
272.37863,343,5.244622
619.87445,783,5.933924
1467.052,2696,8.359426
607.10455,1884,10.017435
1835.6213,2167,11.970759
405.25674,3000,14.645894
226.92244,1459,15.921474
965.4309,677,16.522852
802.1591,2091,18.425961
681.92053,461,18.824093
304.00116,1600,20.247452
264.7099,705,20.856946
-4.5409927,1121,21.831611
88.1141,950,22.679526
845.536,3000,31.682835
77.321175,1006,32.595653
1632.4401,2291,34.655435
509.55017,950,35.504399
293.61362,3000,38.174073
1130.042,3000,40.768516
1015.76245,3000,43.381959
117.09808,730,44.009262
472.85648,954,44.867052
1365.7631,1945,46.596193
605.9653,2452,48.823439
837.7349,772,49.543591
831.9708,1132,50.585321
-5.3169956,859,51.364445
526.43,285,51.620367
-5.784997,438,52.337347
1179.8439,1408,53.602511
476.96118,1320,54.800225
1146.6467,1444,56.084966
703.5256,331,56.371735
1077.1667,1481,57.665495
-1.3260536,333,57.954717
329.02982,613,58.493458
28.085867,213,58.679929
163.35419,194,58.839754
-5.188999,170,58.983843
-4.758999,222,59.187001
771.3784,491,59.637225
49.648865,157,59.768582
-0.9200139,119,59.871983
-0.40600872,114,59.976428
-0.26003265,374,60.330957
-4.8979983,174,60.489242
206.21227,196,60.657561
27.47587,164,60.808346
-6.0649996,68,60.868828
68.91296,163,61.019668
-3.825999,172,61.166421
-5.420999,119,61.270648
670.6509,469,61.693124
1008.8652,552,62.190608
-5.6879997,118,62.320692
263.4587,190,62.489046
96.367966,157,62.628285
96.79697,206,62.844739
-6.1469984,174,62.999589
-7.108,121,63.104011
28.559736,378,63.452168
86.80298,212,63.63897
-6.1199994,222,63.831303
471.94476,691,64.441466
52.51271,317,64.727319
-3.9559994,222,64.925328
52.38294,101,65.019171
1246.4247,858,65.773606
707.8908,2703,68.229211
114.22292,3000,70.902521
408.3736,2816,73.405182
192.53654,1625,75.898192
1416.735,3000,78.495454
1872.249,1256,79.635937
1576.3892,2360,81.813674
102.81705,1061,82.738624
80.13254,3000,85.441024
1575.7123,2657,87.788369
164.04932,1201,88.924739
172.52838,2426,91.125755
1010.8751,896,91.899469
84.21317,1061,92.836873
361.5829,976,93.697268
306.1038,3000,96.360878
253.0011,3000,100.176555
709.0362,3000,102.862268
583.8826,3000,105.516995
425.17953,1273,106.661191
1157.0704,2580,108.949092
98.49118,1369,110.15528
862.3789,1444,111.422452
1133.512,1286,112.56475
839.0817,1701,114.067935
1005.1131,1956,115.826416
196.5618,2521,118.042466
1158.101,2400,120.171374
755.6945,679,120.780422
20.102997,3000,129.88489
0.28201458,3000,132.561563
1003.691,3000,135.311889
1002.82007,641,135.878188
551.11957,3000,138.536243
234.92506,2421,140.716052
526.88855,2389,142.911708
341.35583,1079,143.909461
637.01733,1770,145.561482
36.644886,162,145.719972
1638.737,3000,148.472065
1115.1584,3000,157.397784
1278.3119,1269,158.444822
1526.7874,2531,160.711937
475.52487,1970,162.461982
186.44603,3000,165.124116
1908.7871,1770,166.719311
417.749,541,167.211768
525.41876,316,167.670968
182.64441,1099,168.644911
1160.7153,3000,171.302355
125.40773,3000,173.957188
540.92694,284,174.203212
674.2311,3000,176.912558
-2.54003,543,177.383407
222.80565,1833,183.988964
558.4213,2308,185.946984
2348.8193,3000,188.61034
741.4117,1558,189.990042
835.4459,1995,191.765501
459.1919,2548,194.077153
2009.6815,1837,195.719077
930.3342,3000,198.381985
995.95844,1969,200.123702
155.87288,2051,201.973232
150.62247,1046,202.924472
-5.299999,171,203.075024
821.18066,2245,205.096199
466.6501,3000,208.214054
175.096,1738,209.767743
140.35225,1523,211.13978
320.42487,820,211.873985
393.5001,2720,214.298559
311.2378,1037,215.221359
787.4263,1500,216.56255
232.96893,1614,218.009071
-5.761999,173,218.162519
716.46765,826,218.910877
1371.0732,3000,221.623541
571.0321,449,222.024414
1163.2651,3000,224.717451
328.43594,880,225.519342
162.92334,895,226.317576
111.74114,839,227.075301
529.85657,498,227.515194
227.36047,3000,233.660851
184.67157,1158,234.681819
1533.856,780,235.379814
1211.704,1957,237.125696
2241.883,2600,239.490516
223.16132,400,239.840745
858.8418,1081,240.809559
220.56174,1303,241.963933
922.87085,1702,243.478151
-5.6239977,333,243.768988
609.4721,3000,246.434845
326.723,449,246.831174
953.9811,551,247.324757
116.00407,795,248.035702
857.80255,2717,250.443202
134.19583,1201,251.516355
440.54083,866,252.273815
200.57469,1261,253.374214
43.421318,1063,254.32534
157.95844,1356,259.332014
523.0604,3000,262.031956
105.342026,3000,264.706908
486.33102,745,265.369153
-2.856073,541,265.843083
676.95605,3000,268.539865
657.15765,716,269.211124
974.13727,1320,270.425626
400.57452,1922,272.163724
1271.8419,2138,274.108794
1151.3307,3000,276.80703
476.35544,2385,278.95321
1069.2883,3000,286.687507
622.3875,1233,287.686156
884.78284,767,288.361366
698.0231,1522,289.689833
913.4384,3000,292.309941
460.3599,428,292.686375
373.11783,2924,295.26238
286.26385,878,296.048506
668.5053,1201,297.104254
2112.4805,962,297.952204
2838.5974,3000,300.55056
529.7741,605,301.057914
77.65188,3000,303.677412
311.33862,1822,305.21949
1195.1117,982,306.073071
-4.9329967,491,306.502655
827.2344,2506,312.318773
216.0965,3000,314.862771
31.750788,3000,317.439656
526.3823,475,317.848958
1690.5255,3000,320.498297
0.36480618,2449,322.669603
530.1677,3000,325.300831
703.4336,3000,327.890865
892.6866,2402,329.956185
456.29578,3000,332.566428
1661.9059,3000,339.818805
297.71005,556,340.277326
370.41086,652,340.847059
347.19537,3000,343.391812
32.384315,733,344.020671
165.76161,1410,345.228902
1253.447,3000,347.821018
299.3135,852,348.560235
274.9309,3000,351.132837
615.4756,2773,353.511717
-4.500998,383,353.835714
153.73024,517,354.274378
606.0682,360,354.586696
136.9339,2109,356.387336
1296.7184,3000,358.977928
560.1721,3000,367.701045
464.11124,3000,370.290632
314.07962,3000,372.906368
812.144,1725,374.420269
1536.7909,3000,377.008992
1046.2161,1624,378.420263
1042.5195,2564,380.620091
-4.3389964,545,381.096027
153.91205,1478,382.388828
763.0047,592,382.905132
100.730286,3000,385.514687
586.0953,3000,391.295087
476.3278,3000,394.01853
439.92532,2614,396.403247
56.92689,2494,398.702873
293.64905,3000,401.758251
421.5517,3000,404.484496
1283.5609,1514,406.02118
360.97263,380,406.379887
294.74225,1406,407.599577
191.47234,941,408.449306
275.7461,929,409.314687
1147.7433,1054,410.328261
510.31622,3000,413.128063
799.6097,2051,419.885594
130.75215,1049,420.820276
141.44363,2383,423.012511
1123.0875,3000,425.847148
319.51913,1453,427.236202
1188.5428,2259,429.518582
1214.4026,1335,430.861204
667.54944,2293,432.993956
508.52875,634,433.576892
348.8435,709,434.214054
128.5262,568,434.747391
384.8618,2816,437.329129
1605.6874,2661,439.746867
1633.1584,2423,443.727777
1147.1406,3000,446.224508
772.56104,514,446.673578
615.05206,3000,449.210281
66.59308,694,449.801188
624.72723,859,450.523386
-5.117998,276,450.764621
859.8297,1633,452.158063
1092.7587,1719,453.631267
889.52545,3000,456.182024
116.604256,888,456.925877
250.62917,1255,458.023166
163.31833,573,458.509031
722.07,1842,460.108512
-2.7440534,487,460.536862
536.0871,1094,461.450135
837.7875,2429,463.532159
404.92557,443,463.907516
540.3437,843,464.631423
1380.7511,3000,468.563977
677.40845,2951,471.120718
719.23566,2037,472.840457
1598.9407,3000,475.387649
313.88788,3000,477.930075
54.61065,370,478.255828
226.82227,3000,480.880992
222.00562,2463,483.07721
559.88715,1847,484.731252
275.3767,1767,486.313452
189.78246,829,487.032189
241.14029,553,487.537664
663.9142,2152,490.190201
814.91785,1497,491.636254
778.1325,362,491.992351
2341.2844,2510,494.238439
467.96616,3000,497.068399
-2.6820068,1709,498.725798
433.29126,1073,499.77632
-2.797008,543,500.339474
2346.7073,2481,502.770482
-2.3790536,2608,505.238153
516.02094,534,505.76886
1228.5284,2723,508.425321
413.93912,2653,511.000894
745.73315,790,511.76585
