time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/clip_range,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,eval/mean_reward,eval/mean_ep_length
0,2911,2048,1,566.5,-11.572026252746582,,,,,,,,,,,,
2,1690,4096,2,917.0,187.89495849609375,-0.005755067,0.2,-1.3849359042942524,0.00025,-0.0029709917449508793,216.32452116310597,0.0039459434,93.13715362548828,0.0,10,,
4,1447,6144,3,1074.4,272.42401123046875,0.30890858,0.2,-1.3792154639959335,0.00025,-0.0017161463569209446,97.3283264130354,0.0030750653,20.72870445251465,0.0,20,,
6,1342,8192,4,1104.4285714285713,361.9543762207031,0.37756592,0.2,-1.3689123325049877,0.00025,-0.002767348979250528,158.22497730255128,0.004190346,40.55934143066406,0.000146484375,30,,
7,1302,10240,5,1226.0,364.7366027832031,0.56481826,0.2,-1.359200220555067,0.00025,-0.0010327823787520175,152.50004909038543,0.0009240613,56.60517120361328,0.0,40,,
9,1272,12288,6,1001.5833333333334,316.8028259277344,0.7277608,0.2,-1.3689919378608466,0.00025,-0.001994182069756789,148.84787232875823,0.0029998717,36.33358383178711,0.0013671875,50,,
11,1251,14336,7,931.0,324.30889892578125,0.74083054,0.2,-1.3694166693836451,0.00025,-0.003001436977501726,195.66871371269227,0.007474029,61.85078048706055,0.00185546875,60,,
13,1240,16384,8,1068.9333333333334,308.6953125,0.5049685,0.2,-1.3782472562044858,0.00025,-0.0002593638404505327,290.0816186904907,0.00037274067,81.98025512695312,0.0,70,,
14,1231,18432,9,1078.7058823529412,300.3891296386719,0.26025522,0.2,-1.379967498034239,0.00025,-0.0014139367398456671,68.75045201182365,0.0027878731,8.713930130004883,0.0,80,,
16,1224,20480,10,1078.7058823529412,300.3891296386719,0.40019375,0.2,-1.3790518283843993,0.00025,-0.0038035687466617674,165.65305136442186,0.0062074102,60.16810989379883,0.009326171875,90,,
18,1217,22528,11,1122.65,317.404052734375,0.6939899,0.2,-1.3789461709558963,0.00025,-0.0046821065596304836,77.21472243666649,0.009255866,37.994754791259766,0.03486328125,100,,
20,1214,24576,12,1079.857142857143,302.099365234375,0.7228246,0.2,-1.3749575812369585,0.00025,-0.0007583035079733236,246.1244267940521,0.0020568608,65.01756286621094,0.0,110,,
,,25000,,,,0.5291099,0.2,-1.3813886906951667,0.00025,-0.0007513542179367505,202.39066302776337,0.0017473553,64.69869995117188,0.0,120,158.70498657226562,3000.0
28,927,26624,13,1167.1363636363637,335.415771484375,,,,,,,,,,,,
30,940,28672,14,1192.7391304347825,412.47283935546875,0.77073324,0.2,-1.383004155009985,0.00025,-0.0014120203006314114,242.9658298969269,0.0011804919,92.12215423583984,0.0,130,,
32,955,30720,15,1224.84,397.14776611328125,0.7900967,0.2,-1.3827424969524145,0.00025,-0.0015192717488389461,321.343479013443,0.0013753014,147.69981384277344,0.0,140,,
33,968,32768,16,1214.576923076923,400.44293212890625,0.77935785,0.2,-1.3716788850724697,0.00025,-0.005069733619893668,129.68273572921754,0.009935513,41.50956344604492,0.01953125,150,,
35,979,34816,17,1280.7037037037037,420.6199951171875,0.8074279,0.2,-1.3714401189237833,0.00025,-0.002377718326897593,165.62508610486984,0.0051033315,91.40145111083984,0.002587890625,160,,
37,989,36864,18,1280.7037037037037,420.6199951171875,0.77884203,0.2,-1.3713127624243497,0.00025,-0.005314934665511828,175.82998913526535,0.012428951,34.670108795166016,0.02548828125,170,,
38,1000,38912,19,1319.9310344827586,456.7734069824219,0.55907893,0.2,-1.37625461705029,0.00025,-0.002898333167831879,270.13635716438296,0.0063921628,123.88562774658203,0.009814453125,180,,
40,1009,40960,20,1319.3666666666666,464.7020568847656,0.7577033,0.2,-1.3685771036893128,0.00025,-0.0030556074270862155,222.76802262067795,0.0040184986,59.98981857299805,0.000390625,190,,
42,1016,43008,21,1355.774193548387,497.17474365234375,0.74508643,0.2,-1.3603876069188119,0.00025,-0.0012049221862980631,115.03593021929264,0.0039841514,23.10569953918457,0.007080078125,200,,
43,1025,45056,22,1407.15625,574.0430297851562,0.6601956,0.2,-1.3721129413694144,0.00025,-0.0008937775055528618,534.4504454612731,0.0012964373,163.5693817138672,0.0,210,,
