#{"t_start": 1761312357.6392467, "env_id": "None"}
r,l,t,result,match_ratio,page
409.77,73,8.891053,partial,0.8,done
440.82,68,17.160994,partial,0.8666666666666667,done
448.96,54,23.181332,partial,0.9333333333333333,done
437.49,51,28.612539,partial,0.8,done
445.6,90,38.457033,partial,0.9333333333333333,done
408.51,49,43.396452,partial,0.8666666666666667,done
455.01,49,49.048765,partial,0.9333333333333333,done
398.79,71,55.752372,partial,0.8666666666666667,done
414.62,38,60.958722,partial,0.8666666666666667,done
428.98,52,68.570497,partial,0.9333333333333333,done
432.38,62,76.051989,partial,0.8666666666666667,done
429.94,56,82.44774,partial,0.8,done
258.06,44,87.237383,partial,0.7333333333333333,done
410.65,35,92.154208,partial,0.8666666666666667,done
145.19,81,99.753325,incomplete,0.0,review.html
394.5,50,104.966342,partial,0.8,done
413.42,58,111.697434,partial,0.8666666666666667,done
88.59,91,123.198828,incomplete,0.0,review.html
406.52,98,132.545931,partial,0.9333333333333333,done
459.1,40,139.344712,partial,0.9333333333333333,done
411.71,79,148.24579,partial,0.9333333333333333,done
408.53,47,155.742007,partial,0.8,done
87.37,63,162.884155,incomplete,0.0,review.html
460.19,81,170.974723,partial,0.9333333333333333,done
69.59,41,175.662148,incomplete,0.0,index.html
414.16,34,180.659231,partial,0.8,done
457.26,74,187.808093,partial,0.9333333333333333,done
433.3,70,195.129573,partial,0.9333333333333333,done
435.14,86,206.640034,partial,0.9333333333333333,done
460.43,57,213.644374,partial,0.9333333333333333,done
412.97,53,219.357628,partial,0.8,done
257.18,32,223.174822,partial,0.7333333333333333,done
373.44,106,237.098545,partial,0.9333333333333333,done
371.89,61,245.422473,partial,0.8666666666666667,done
476.8,70,255.206315,partial,0.9333333333333333,done
80.69,81,263.827887,incomplete,0.0,review.html
410.66,34,268.196906,partial,0.8,done
255.05,45,273.066509,partial,0.7333333333333333,done
408.01,49,280.972314,partial,0.8,done
96.73,77,288.304457,incomplete,0.0,review.html
421.63,37,293.639594,partial,0.8666666666666667,done
421.87,63,300.471775,partial,0.8666666666666667,done
255.03,47,305.01856,partial,0.7333333333333333,done
477.27,73,314.072953,partial,0.9333333333333333,done
66.59,41,318.843795,incomplete,0.0,index.html
417.6,40,324.411009,partial,0.8,done
112.0,50,328.703112,incomplete,0.0,review.html
402.09,41,334.107147,partial,0.8,done
72.77,73,339.707373,incomplete,0.0,review.html
383.81,69,345.222062,partial,0.8666666666666667,done
395.0,50,352.435572,partial,0.8666666666666667,done
118.28,72,358.142602,incomplete,0.0,review.html
438.19,81,368.496172,partial,0.9333333333333333,done
166.37,63,374.250099,partial,0.6666666666666666,done
401.27,73,382.210369,partial,0.8,done
66.59,41,386.241615,incomplete,0.0,index.html
449.41,59,392.015827,partial,0.9333333333333333,done
386.81,69,398.9478,partial,0.8666666666666667,done
438.49,51,404.230268,partial,0.9333333333333333,done
438.22,78,412.182336,partial,0.9333333333333333,done
236.03,47,417.24874,partial,0.7333333333333333,done
57.59,41,421.367335,incomplete,0.0,index.html
258.08,42,426.163551,partial,0.7333333333333333,done
445.93,57,434.343936,partial,0.9333333333333333,done
454.86,64,441.269407,partial,0.9333333333333333,done
128.33,67,447.12204,incomplete,0.0,review.html
464.0,50,452.51144,partial,0.9333333333333333,done
162.37,63,457.445805,incomplete,0.0,review.html
154.31,69,462.985777,incomplete,0.0,review.html
423.62,38,468.030728,partial,0.8,done
256.54,46,473.080521,partial,0.7333333333333333,done
450.3,70,482.053615,partial,0.9333333333333333,done
398.95,55,487.148359,partial,0.8,done
72.59,41,491.92254,incomplete,0.0,index.html
451.37,63,499.478013,partial,0.9333333333333333,done
412.64,36,503.891099,partial,0.8,done
401.65,35,507.85196,partial,0.8,done
433.34,66,515.981791,partial,0.8666666666666667,done
488.77,73,523.995691,partial,0.9333333333333333,done
96.82,68,530.016083,incomplete,0.0,questions.html
460.64,86,540.340961,partial,0.9333333333333333,done
419.48,52,545.964539,partial,0.8666666666666667,done
370.32,68,554.28622,partial,0.8666666666666667,done
451.45,55,561.171489,partial,0.9333333333333333,done
442.97,53,569.978984,partial,0.8,done
118.59,41,576.10055,incomplete,0.0,experience.html
416.02,48,582.643379,partial,0.8,done
426.22,78,590.123455,partial,0.9333333333333333,done
402.37,63,596.498409,partial,0.8666666666666667,done
135.46,54,602.662688,incomplete,0.0,review.html
412.76,74,611.110946,partial,0.9333333333333333,done
125.23,77,618.250339,incomplete,0.0,review.html
473.79,71,625.889245,partial,0.9333333333333333,done
463.76,74,633.78265,partial,0.9333333333333333,done
424.89,61,640.768623,partial,0.8,done
389.63,37,647.90116,partial,0.8,done
456.61,89,655.720455,partial,0.9333333333333333,done
459.41,59,663.110393,partial,0.9333333333333333,done
441.87,63,670.308883,partial,0.8,done
395.73,77,678.527731,partial,0.8,done
86.8,70,684.115132,incomplete,0.0,review.html
453.58,42,689.565867,partial,0.9333333333333333,done
467.27,73,698.493861,partial,0.9333333333333333,done
269.96,54,704.391359,partial,0.7333333333333333,done
437.83,67,712.748212,partial,0.8666666666666667,done
389.61,89,724.461258,partial,0.9333333333333333,done
427.4,60,731.714154,partial,0.9333333333333333,done
139.57,93,740.476205,incomplete,0.0,review.html
152.84,66,747.556634,incomplete,0.0,review.html
