#{"t_start": 1761279856.0332873, "env_id": "None"}
r,l,t,result,match_ratio,page
378.58,42,6.060432,partial,0.8666666666666667,done
238.9,60,12.52805,partial,0.7333333333333333,done
387.03,47,19.198936,partial,0.8666666666666667,done
372.37,63,25.255387,partial,0.8666666666666667,done
385.57,43,30.43483,partial,0.8,done
234.68,32,35.22145,partial,0.7333333333333333,done
424.98,52,41.24708,partial,0.9333333333333333,done
30.69,31,44.991608,incomplete,0.0,index.html
394.34,66,52.893077,partial,0.9333333333333333,done
416.05,45,58.86566,partial,0.9333333333333333,done
385.42,58,65.713858,partial,0.8666666666666667,done
384.25,75,72.812298,partial,0.8666666666666667,done
408.42,58,78.863065,partial,0.9333333333333333,done
396.58,42,84.608079,partial,0.8,done
28.69,31,87.965692,incomplete,0.0,index.html
401.09,41,93.86566,partial,0.8666666666666667,done
410.48,52,99.507548,partial,0.9333333333333333,done
414.04,46,105.733135,partial,0.9333333333333333,done
376.92,58,113.117161,partial,0.8666666666666667,done
393.91,59,120.631292,partial,0.9333333333333333,done
380.91,59,127.491819,partial,0.8,done
413.94,56,133.986064,partial,0.9333333333333333,done
405.57,43,140.104207,partial,0.9333333333333333,done
26.69,31,144.274745,incomplete,0.0,index.html
394.8,70,152.341208,partial,0.9333333333333333,done
414.5,50,158.874043,partial,0.9333333333333333,done
389.15,35,164.156637,partial,0.8666666666666667,done
68.69,31,167.971812,incomplete,0.0,experience.html
388.61,39,174.456415,partial,0.8666666666666667,done
400.56,44,180.583084,partial,0.8,done
413.08,42,186.7573,partial,0.9333333333333333,done
400.0,50,193.104521,partial,0.8666666666666667,done
407.5,50,199.688596,partial,0.8666666666666667,done
432.94,56,206.873042,partial,0.9333333333333333,done
391.05,45,212.544871,partial,0.8666666666666667,done
409.04,46,218.312835,partial,0.9333333333333333,done
394.9,60,224.263724,partial,0.9333333333333333,done
251.09,41,229.353045,partial,0.7333333333333333,done
414.45,55,236.611291,partial,0.9333333333333333,done
388.04,46,242.431269,partial,0.8666666666666667,done
384.15,35,246.808836,partial,0.8666666666666667,done
415.44,56,252.59908,partial,0.9333333333333333,done
386.06,44,257.826826,partial,0.8666666666666667,done
379.34,66,264.399577,partial,0.8666666666666667,done
395.44,56,270.908159,partial,0.8666666666666667,done
377.57,43,275.613461,partial,0.8666666666666667,done
407.45,55,281.152848,partial,0.9333333333333333,done
404.01,49,286.91959,partial,0.9333333333333333,done
380.88,62,293.603112,partial,0.8666666666666667,done
30.69,31,297.006666,incomplete,0.0,index.html
408.9,60,304.781314,partial,0.9333333333333333,done
407.02,48,310.655896,partial,0.8666666666666667,done
39.32,68,316.281593,incomplete,0.0,questions.html
376.99,51,321.91407,partial,0.8,done
388.54,46,327.451593,partial,0.8,done
394.08,42,332.577758,partial,0.8,done
388.97,53,338.416831,partial,0.8,done
30.69,31,341.605536,incomplete,0.0,index.html
385.09,41,346.456431,partial,0.8666666666666667,done
26.69,31,349.937982,incomplete,0.0,index.html
66.69,31,353.160468,incomplete,0.0,experience.html
407.37,63,359.107381,partial,0.9333333333333333,done
388.18,32,363.612558,partial,0.8666666666666667,done
70.69,31,367.238455,incomplete,0.0,experience.html
410.85,65,375.111787,partial,0.9333333333333333,done
398.94,56,381.638582,partial,0.9333333333333333,done
387.18,32,385.696588,partial,0.8,done
58.35,65,390.579394,incomplete,0.0,questions.html
396.39,61,396.333754,partial,0.9333333333333333,done
424.86,64,404.317607,partial,0.9333333333333333,done
401.53,47,410.283423,partial,0.8666666666666667,done
43.27,73,415.987535,incomplete,0.0,questions.html
30.69,31,419.072574,incomplete,0.0,index.html
407.28,72,426.554578,partial,0.9333333333333333,done
385.53,47,431.888679,partial,0.8666666666666667,done
30.69,31,435.159313,incomplete,0.0,index.html
388.49,51,440.751534,partial,0.8666666666666667,done
421.92,58,448.54513,partial,0.9333333333333333,done
379.55,45,453.721868,partial,0.8666666666666667,done
399.96,54,460.511797,partial,0.9333333333333333,done
384.99,51,467.034519,partial,0.8666666666666667,done
396.13,37,471.843175,partial,0.8,done
385.64,36,476.23268,partial,0.8666666666666667,done
30.69,31,479.434976,incomplete,0.0,index.html
407.96,54,486.038591,partial,0.9333333333333333,done
429.49,51,492.40391,partial,0.9333333333333333,done
410.54,46,497.790032,partial,0.9333333333333333,done
405.54,46,502.727246,partial,0.9333333333333333,done
385.46,54,508.847314,partial,0.8666666666666667,done
387.55,45,514.773811,partial,0.8666666666666667,done
389.19,31,519.203073,partial,0.8,done
416.49,51,525.070727,partial,0.9333333333333333,done
28.69,31,528.201804,incomplete,0.0,index.html
50.9,60,533.1747,incomplete,0.0,questions.html
394.05,45,539.027407,partial,0.8666666666666667,done
386.97,53,546.174026,partial,0.8666666666666667,done
375.98,52,550.965327,partial,0.8666666666666667,done
392.52,48,556.437743,partial,0.8,done
415.64,36,561.538064,partial,0.9333333333333333,done
247.55,45,567.17432,partial,0.7333333333333333,done
236.64,36,571.378095,partial,0.7333333333333333,done
387.04,46,576.380454,partial,0.8,done
418.38,62,582.986874,partial,0.9333333333333333,done
402.93,57,589.642684,partial,0.8,done
392.97,53,595.928082,partial,0.8,done
395.41,59,603.958695,partial,0.8,done
389.61,39,609.030957,partial,0.8666666666666667,done
389.57,43,614.426796,partial,0.8,done
391.03,47,622.263935,partial,0.8666666666666667,done
392.74,76,630.560856,partial,0.9333333333333333,done
416.98,52,636.987504,partial,0.9333333333333333,done
