#{"t_start": 1761165890.335546, "env_id": "None"}
r,l,t,page
-2.59,37,9.044122,experience.html
-1.12,16,12.854634,experience.html
-1.33,19,16.355778,experience.html
-0.84,12,19.426124,experience.html
-1.12,16,23.154761,experience.html
-2.8,40,31.508123,experience.html
-1.19,17,35.786827,experience.html
-1.12,16,39.438743,experience.html
-1.47,21,43.826684,experience.html
-0.84,12,46.098061,experience.html
-1.19,17,49.090694,experience.html
-1.47,21,52.687498,experience.html
-0.77,11,54.832847,experience.html
-1.05,15,57.944427,experience.html
-1.19,17,62.136591,experience.html
-2.38,34,70.798456,experience.html
-1.33,19,75.311606,experience.html
-0.98,14,79.108378,experience.html
-0.98,14,82.115036,experience.html
-1.19,17,86.855527,experience.html
-0.63,9,88.742769,experience.html
-0.91,13,91.153178,experience.html
-0.98,14,93.73017,experience.html
-1.26,18,97.65604,experience.html
-0.91,13,100.493958,experience.html
-1.26,18,103.644039,experience.html
-2.59,37,110.444329,experience.html
-1.26,18,114.071125,experience.html
-1.82,26,119.609843,experience.html
-2.87,41,128.6854,NONE
-1.96,28,134.085905,experience.html
-2.1,30,140.407428,experience.html
-0.63,9,142.290327,experience.html
-1.47,21,147.500437,experience.html
-0.56,8,149.240812,experience.html
-0.49,7,150.808966,experience.html
-1.12,16,154.138057,experience.html
-0.7,10,156.9649,experience.html
-2.66,38,167.662039,experience.html
-1.12,16,172.647944,experience.html
-1.61,23,176.974697,experience.html
-0.63,9,179.244365,experience.html
-1.26,18,183.63061,experience.html
-2.52,36,192.622781,experience.html
-0.98,14,196.365989,experience.html
-2.87,41,206.406441,experience.html
-0.91,13,208.913254,experience.html
-1.12,16,212.226255,experience.html
-0.91,13,215.097977,experience.html
-0.77,11,217.307716,experience.html
-2.17,31,223.650281,experience.html
-1.12,16,227.795717,experience.html
-1.26,18,232.689424,experience.html
-0.77,11,235.286934,experience.html
-0.77,11,238.20529,experience.html
-2.17,31,244.535394,experience.html
-2.24,32,250.666903,experience.html
-0.56,8,252.777891,experience.html
-1.4,20,257.466051,experience.html
-1.05,15,260.740309,experience.html
-1.54,22,265.65562,experience.html
-1.33,19,268.987236,experience.html
-0.84,12,272.522895,experience.html
-1.61,23,277.271148,experience.html
-2.24,32,284.112765,experience.html
-0.49,7,285.68748,experience.html
-1.61,23,290.506431,experience.html
-0.77,11,293.455466,experience.html
-0.7,10,295.852051,experience.html
-0.91,13,299.117011,experience.html
-1.05,15,302.187661,experience.html
-1.12,16,305.853382,experience.html
-1.82,26,310.591282,experience.html
-0.63,9,312.879666,experience.html
-2.87,41,325.739892,NONE
-1.75,25,331.140043,experience.html
-0.98,14,335.277003,experience.html
-1.33,19,340.97584,experience.html
-0.7,10,343.350271,experience.html
-0.49,7,345.345605,experience.html
-2.17,31,354.410622,experience.html
-1.47,21,360.031914,experience.html
-1.26,18,365.211714,experience.html
-1.19,17,368.727721,experience.html
-0.98,14,372.090464,experience.html
-0.63,9,374.358289,experience.html
-1.4,20,379.122579,experience.html
-1.47,21,384.80679,experience.html
-1.89,27,393.290171,experience.html
-0.98,14,396.335409,experience.html
-1.26,18,401.536446,experience.html
-1.89,27,407.350934,experience.html
-0.91,13,410.199593,experience.html
-1.05,15,413.426576,experience.html
-2.31,33,422.144058,experience.html
-0.63,9,423.998065,experience.html
-1.05,15,427.514896,experience.html
-1.54,22,433.681558,experience.html
-1.33,19,439.786831,experience.html
-2.59,37,447.947352,experience.html
-1.33,19,452.341915,experience.html
-0.98,14,454.978029,experience.html
-1.05,15,458.91119,experience.html
-0.7,10,461.318161,experience.html
-0.84,12,464.412495,experience.html
-2.87,41,475.25167,NONE
-0.63,9,477.857776,experience.html
