#{"t_start": 1761263204.6763036, "env_id": "None"}
r,l,t,page
47.9,10,2.569846,--------------experience.html
49.88,12,3.941157,--------------experience.html
48.89,11,5.373637,--------------experience.html
61.7,30,9.046558,--------------experience.html
45.9,10,10.463221,--------------experience.html
54.79,21,13.004303,--------------experience.html
49.84,16,14.869206,--------------experience.html
52.87,13,16.484584,--------------experience.html
20.69,31,21.161044,index.html
56.77,23,23.875659,--------------experience.html
47.84,16,25.749756,--------------experience.html
24.69,31,28.957965,index.html
61.76,24,31.564652,--------------experience.html
50.87,13,33.002978,--------------experience.html
58.69,31,36.336622,--------------experience.html
48.89,11,37.573667,--------------experience.html
45.92,8,38.481981,--------------experience.html
50.89,11,39.700066,--------------experience.html
44.91,9,40.813597,--------------experience.html
49.9,10,42.038497,--------------experience.html
24.69,31,45.210298,index.html
54.81,19,47.25826,--------------experience.html
59.8,20,49.41573,--------------experience.html
55.82,18,51.544696,--------------experience.html
54.77,23,53.893335,--------------experience.html
48.89,11,55.036322,--------------experience.html
53.84,16,56.735793,--------------experience.html
24.69,31,60.024884,index.html
54.83,17,62.25015,--------------experience.html
51.88,12,63.591506,--------------experience.html
56.81,19,65.618789,--------------experience.html
52.81,19,67.96772,--------------experience.html
50.89,11,69.787824,--------------experience.html
45.86,14,71.549443,--------------experience.html
55.76,24,74.259449,--------------experience.html
52.85,15,76.513963,--------------experience.html
48.85,15,78.279846,--------------experience.html
49.9,10,79.387716,--------------experience.html
46.87,13,80.955389,--------------experience.html
47.9,10,82.052982,--------------experience.html
53.78,22,84.503013,--------------experience.html
58.81,19,86.623607,--------------experience.html
52.81,19,88.713483,--------------experience.html
48.85,15,90.435231,--------------experience.html
49.84,16,92.497443,--------------experience.html
49.82,18,94.725159,--------------experience.html
53.84,16,96.516645,--------------experience.html
54.81,19,98.665045,--------------experience.html
14.69,31,102.488122,index.html
16.69,31,106.364785,index.html
55.8,20,108.790766,--------------experience.html
57.82,18,110.927603,--------------experience.html
61.76,24,114.26342,--------------experience.html
40.83,17,116.619162,--------------experience.html
50.87,13,118.556655,--------------experience.html
57.78,22,121.710124,--------------experience.html
54.79,21,124.870149,--------------experience.html
46.81,19,127.24591,--------------experience.html
56.81,19,130.037302,--------------experience.html
48.83,17,132.74149,--------------experience.html
50.85,15,134.911804,--------------experience.html
51.86,14,137.282808,--------------experience.html
54.83,17,139.816055,--------------experience.html
53.84,16,142.004006,--------------experience.html
14.69,31,146.675043,index.html
51.8,20,149.034154,--------------experience.html
57.8,20,151.306728,--------------experience.html
53.82,18,153.280657,--------------experience.html
48.91,9,154.397024,--------------experience.html
54.79,21,156.629649,--------------experience.html
58.75,25,159.451454,--------------experience.html
50.89,11,160.722954,--------------experience.html
44.93,7,161.537558,--------------experience.html
49.86,14,163.167569,--------------experience.html
52.83,17,165.214283,--------------experience.html
58.79,21,167.517181,--------------experience.html
50.77,23,170.387553,--------------experience.html
47.92,8,171.378283,--------------experience.html
24.69,31,175.294334,index.html
50.83,17,177.494347,--------------experience.html
54.83,17,179.387409,--------------experience.html
46.85,15,181.152699,--------------experience.html
54.79,21,183.534154,--------------experience.html
57.78,22,186.332491,--------------experience.html
48.89,11,187.773934,--------------experience.html
52.83,17,189.847605,--------------experience.html
46.89,11,191.074863,--------------experience.html
47.82,18,193.123107,--------------experience.html
59.76,24,195.944937,--------------experience.html
46.85,15,197.84575,--------------experience.html
51.82,18,200.062512,--------------experience.html
66.71,29,203.331145,--------------experience.html
47.86,14,205.167102,--------------experience.html
49.9,10,206.44447,--------------experience.html
59.8,20,208.831943,--------------experience.html
48.85,15,210.691581,--------------experience.html
58.79,21,213.156651,--------------experience.html
50.87,13,214.805308,--------------experience.html
47.9,10,216.053856,--------------experience.html
45.9,10,217.215967,--------------experience.html
50.87,13,218.672457,--------------experience.html
47.9,10,219.864553,--------------experience.html
47.9,10,221.018258,--------------experience.html
49.78,22,223.486202,--------------experience.html
55.78,22,225.884054,--------------experience.html
52.87,13,227.35486,--------------experience.html
51.88,12,228.842105,--------------experience.html
46.89,11,230.315109,--------------experience.html
49.9,10,231.626727,--------------experience.html
50.85,15,233.504359,--------------experience.html
50.85,15,235.308354,--------------experience.html
45.76,24,237.92956,--------------experience.html
20.69,31,241.463193,index.html
48.85,15,243.422864,--------------experience.html
55.8,20,245.632303,--------------experience.html
43.82,18,247.609476,--------------experience.html
46.85,15,249.227418,--------------experience.html
55.78,22,251.731491,--------------experience.html
48.89,11,252.934181,--------------experience.html
51.86,14,254.498862,--------------experience.html
48.85,15,256.076461,--------------experience.html
50.85,15,257.751868,--------------experience.html
44.91,9,258.845782,--------------experience.html
44.93,7,259.753559,--------------experience.html
45.7,30,262.974839,--------------experience.html
14.69,31,266.279406,index.html
46.87,13,267.683542,--------------experience.html
43.88,12,269.028035,--------------experience.html
44.87,13,270.575134,--------------experience.html
50.85,15,272.225692,--------------experience.html
47.9,10,273.420874,--------------experience.html
46.81,19,275.576628,--------------experience.html
48.79,21,277.959625,--------------experience.html
55.84,16,279.828772,--------------experience.html
50.85,15,281.546426,--------------experience.html
48.87,13,282.923296,--------------experience.html
51.86,14,284.468666,--------------experience.html
50.85,15,286.140283,--------------experience.html
48.81,19,288.460578,--------------experience.html
47.9,10,289.696467,--------------experience.html
62.69,31,292.998458,--------------experience.html
47.92,8,294.021796,--------------experience.html
49.9,10,295.187174,--------------experience.html
45.92,8,296.131323,--------------experience.html
53.84,16,297.80432,--------------experience.html
51.86,14,299.376314,--------------experience.html
51.82,18,301.334345,--------------experience.html
50.79,21,303.539354,--------------experience.html
47.88,12,304.928546,--------------experience.html
56.79,21,307.330555,--------------experience.html
47.9,10,308.466356,--------------experience.html
46.91,9,309.596111,--------------experience.html
42.91,9,310.618823,--------------experience.html
54.71,29,314.166288,--------------experience.html
50.85,15,315.918219,--------------experience.html
46.89,11,317.137687,--------------experience.html
53.72,28,319.998772,--------------experience.html
51.86,14,321.586926,--------------experience.html
52.85,15,323.307257,--------------experience.html
48.85,15,324.929288,--------------experience.html
16.69,31,328.207381,index.html
43.92,8,329.127199,--------------experience.html
46.89,11,330.336111,--------------experience.html
20.69,31,333.636729,index.html
48.75,25,336.310408,--------------experience.html
47.9,10,337.4115,--------------experience.html
48.91,9,338.432308,--------------experience.html
44.89,11,339.716864,--------------experience.html
50.85,15,341.58186,--------------experience.html
56.75,25,344.501624,--------------experience.html
50.85,15,346.073753,--------------experience.html
49.8,20,348.07977,--------------experience.html
42.87,13,349.392252,--------------experience.html
48.85,15,351.314493,--------------experience.html
47.84,16,352.953128,--------------experience.html
50.79,21,355.115759,--------------experience.html
49.86,14,356.710729,--------------experience.html
56.77,23,359.04021,--------------experience.html
53.82,18,360.857565,--------------experience.html
52.77,23,363.472896,--------------experience.html
55.76,24,366.037406,--------------experience.html
47.84,16,367.803628,--------------experience.html
52.87,13,369.357593,--------------experience.html
45.92,8,370.359905,--------------experience.html
51.86,14,372.066676,--------------experience.html
51.82,18,374.043941,--------------experience.html
49.82,18,375.894471,--------------experience.html
48.87,13,377.318289,--------------experience.html
47.84,16,379.298255,--------------experience.html
55.7,30,382.330763,--------------experience.html
48.85,15,384.001876,--------------experience.html
47.92,8,384.891634,--------------experience.html
56.73,27,387.608891,--------------experience.html
48.87,13,389.138827,--------------experience.html
44.83,17,391.024903,--------------experience.html
59.72,28,393.995681,--------------experience.html
56.79,21,396.290143,--------------experience.html
52.83,17,398.152703,--------------experience.html
46.85,15,399.958434,--------------experience.html
49.88,12,401.315444,--------------experience.html
16.69,31,404.367136,index.html
50.81,19,406.500097,--------------experience.html
47.84,16,408.117635,--------------experience.html
51.84,16,409.873642,--------------experience.html
46.87,13,411.33408,--------------experience.html
57.82,18,413.341972,--------------experience.html
45.86,14,414.807999,--------------experience.html
48.85,15,416.356179,--------------experience.html
59.76,24,419.026437,--------------experience.html
51.82,18,421.13614,--------------experience.html
50.83,17,422.920672,--------------experience.html
49.84,16,424.638492,--------------experience.html
48.91,9,425.648324,--------------experience.html
56.81,19,427.840006,--------------experience.html
50.89,11,429.258864,--------------experience.html
47.8,20,431.338353,--------------experience.html
47.86,14,432.81928,--------------experience.html
50.89,11,434.165213,--------------experience.html
50.81,19,436.481995,--------------experience.html
50.85,15,438.08519,--------------experience.html
52.83,17,440.04087,--------------experience.html
52.79,21,442.352487,--------------experience.html
54.81,19,444.380579,--------------experience.html
46.87,13,445.816721,--------------experience.html
47.9,10,447.004975,--------------experience.html
46.91,9,448.074503,--------------experience.html
49.9,10,449.199283,--------------experience.html
45.92,8,450.157338,--------------experience.html
56.77,23,452.762576,--------------experience.html
50.89,11,454.186898,--------------experience.html
53.86,14,455.597295,--------------experience.html
57.8,20,457.710196,--------------experience.html
53.8,20,459.783495,--------------experience.html
58.79,21,462.254171,--------------experience.html
57.76,24,464.755639,--------------experience.html
60.77,23,467.303474,--------------experience.html
55.8,20,469.572412,--------------experience.html
52.81,19,471.661584,--------------experience.html
50.85,15,473.385758,--------------experience.html
58.77,23,476.001879,--------------experience.html
54.83,17,478.110459,--------------experience.html
51.78,22,480.730325,--------------experience.html
45.9,10,481.957033,--------------experience.html
26.69,31,486.21894,index.html
61.74,26,489.417977,--------------experience.html
44.85,15,491.125567,--------------experience.html
48.87,13,492.722479,--------------experience.html
50.87,13,494.194331,--------------experience.html
51.86,14,495.747601,--------------experience.html
48.89,11,496.930111,--------------experience.html
51.86,14,498.72597,--------------experience.html
47.84,16,500.491724,--------------experience.html
48.79,21,502.92104,--------------experience.html
48.91,9,504.04926,--------------experience.html
55.8,20,506.360876,--------------experience.html
54.85,15,508.181989,--------------experience.html
46.91,9,509.27656,--------------experience.html
50.85,15,511.459328,--------------experience.html
46.91,9,512.882272,--------------experience.html
47.92,8,514.063464,--------------experience.html
52.85,15,515.991282,--------------experience.html
46.91,9,517.370268,--------------experience.html
47.9,10,518.748226,--------------experience.html
55.8,20,521.787253,--------------experience.html
48.89,11,523.146173,--------------experience.html
46.93,7,524.065088,--------------experience.html
54.81,19,526.487659,--------------experience.html
57.76,24,529.448967,--------------experience.html
49.9,10,530.861933,--------------experience.html
52.85,15,533.538991,--------------experience.html
52.81,19,535.891425,--------------experience.html
47.9,10,537.129187,--------------experience.html
50.87,13,538.939344,--------------experience.html
47.88,12,540.519974,--------------experience.html
57.82,18,542.984294,--------------experience.html
43.92,8,543.967238,--------------experience.html
51.88,12,545.566149,--------------experience.html
58.79,21,548.22703,--------------experience.html
46.89,11,550.006226,--------------experience.html
49.9,10,551.423328,--------------experience.html
61.72,28,554.925663,--------------experience.html
47.76,24,557.779967,--------------experience.html
44.81,19,560.272392,--------------experience.html
51.88,12,561.856599,--------------experience.html
48.89,11,563.428831,--------------experience.html
44.93,7,564.390994,--------------experience.html
50.79,21,567.303061,--------------experience.html
51.88,12,568.748048,--------------experience.html
54.75,25,571.854489,--------------experience.html
52.81,19,574.165019,--------------experience.html
46.89,11,575.548648,--------------experience.html
47.92,8,576.660517,--------------experience.html
48.89,11,578.114331,--------------experience.html
49.88,12,579.777952,--------------experience.html
45.88,12,581.440555,--------------experience.html
45.88,12,583.058177,--------------experience.html
55.84,16,584.976197,--------------experience.html
48.89,11,586.361428,--------------experience.html
52.87,13,588.140342,--------------experience.html
47.92,8,589.18823,--------------experience.html
46.89,11,590.67238,--------------experience.html
51.84,16,592.804811,--------------experience.html
55.82,18,595.349191,--------------experience.html
45.84,16,597.853945,--------------experience.html
55.82,18,600.472201,--------------experience.html
46.87,13,602.156584,--------------experience.html
50.89,11,603.691091,--------------experience.html
50.81,19,606.147823,--------------experience.html
57.8,20,608.70903,--------------experience.html
