#{"t_start": 1761094461.0136273, "env_id": "None"}
r,l,t,page
31.1,201,36.815975,NONE
32.7,201,70.423213,NONE
10.1,96,85.205972,questions.html
9.8,22,89.374996,questions.html
45.2,71,102.01302,questions.html
21.0,24,106.045816,questions.html
77.0,201,137.62183,NONE
9.1,24,139.933092,questions.html
32.7,34,146.743145,questions.html
11.0,5,147.70463,questions.html
20.7,24,151.24071,questions.html
32.6,69,162.715493,questions.html
34.5,201,196.4914,NONE
37.9,201,229.160517,NONE
54.6,201,260.657164,NONE
76.4,201,295.972503,NONE
15.0,18,298.584561,questions.html
3.8,20,301.180212,questions.html
50.9,201,333.474582,NONE
80.2,201,364.141529,NONE
85.8,201,394.472158,NONE
12.7,8,395.437393,questions.html
12.9,11,397.283816,questions.html
118.4,201,431.905026,NONE
18.1,18,434.541922,questions.html
75.8,201,465.928505,NONE
93.2,201,500.230339,NONE
17.6,14,502.111903,questions.html
124.9,201,535.633268,NONE
103.2,201,569.328884,NONE
121.1,201,603.122681,NONE
113.7,201,636.679947,NONE
122.3,201,668.607908,NONE
143.8,201,702.76238,NONE
140.5,201,733.160541,NONE
131.5,201,764.095824,NONE
12.9,6,764.837071,questions.html
143.9,201,796.616982,NONE
136.3,201,824.076893,NONE
148.3,201,851.746207,NONE
18.8,17,854.322812,questions.html
133.4,201,884.935858,NONE
145.8,201,913.761026,NONE
134.1,201,942.201792,NONE
147.6,201,968.428133,NONE
148.1,201,994.435091,NONE
158.7,201,1022.824816,NONE
20.4,22,1025.713491,questions.html
15.2,13,1027.7379,questions.html
166.8,201,1054.166181,NONE
155.9,201,1079.902007,NONE
162.9,201,1102.689553,NONE
178.7,201,1125.742674,NONE
151.5,201,1150.290963,NONE
174.7,201,1174.299799,NONE
176.2,201,1197.577558,NONE
172.8,201,1221.129844,NONE
174.0,201,1244.105029,NONE
175.2,201,1267.132817,NONE
171.3,201,1286.820958,NONE
172.4,201,1307.833295,NONE
181.0,201,1328.82884,NONE
182.4,201,1347.201719,NONE
185.6,201,1366.456895,NONE
187.6,201,1386.329313,NONE
184.1,201,1408.150585,NONE
178.7,201,1430.554391,NONE
186.7,201,1451.353773,NONE
174.9,201,1472.027416,NONE
111.2,115,1484.86629,questions.html
183.6,201,1505.443635,NONE
186.8,201,1526.350059,NONE
187.3,201,1544.344681,NONE
181.7,201,1565.905139,NONE
188.8,201,1583.95244,NONE
186.5,201,1602.063322,NONE
184.5,201,1621.861536,NONE
177.5,201,1640.952502,NONE
186.9,201,1658.451376,NONE
189.0,201,1676.187421,NONE
23.0,15,1677.752896,questions.html
188.1,201,1695.570721,NONE
180.3,201,1714.315049,NONE
189.6,201,1731.871999,NONE
184.2,201,1749.796767,NONE
187.6,201,1767.286268,NONE
192.4,201,1785.107324,NONE
190.7,201,1802.799095,NONE
194.4,201,1819.364434,NONE
196.2,201,1835.983404,NONE
190.7,201,1853.148235,NONE
191.2,201,1871.827748,NONE
192.4,201,1890.014771,NONE
195.5,201,1907.087356,NONE
195.7,201,1925.03779,NONE
189.3,201,1941.890051,NONE
188.3,201,1959.51929,NONE
189.4,201,1977.361477,NONE
195.7,201,1994.127161,NONE
193.6,201,2012.020246,NONE
197.4,201,2027.787446,NONE
192.4,201,2045.690094,NONE
195.5,201,2062.051599,NONE
192.4,201,2078.615681,NONE
196.5,201,2095.928512,NONE
197.0,201,2116.23183,NONE
194.1,201,2136.632309,NONE
185.0,201,2154.74707,NONE
197.5,201,2173.158591,NONE
197.5,201,2191.471143,NONE
197.7,201,2207.195343,NONE
